date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:04	24/24	U-----	200	untouched ('OK')	text/plain	date:Wed,%2013%20Dec%202023%2017:21:30%20GMT	https://ranktags.subgplayz.tech/robots.txt		(from )
18:31:05	12444/12444	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2013%20Dec%202023%2017:31:04%20GMT	https://ranktags.subgplayz.tech/	C:/Users/danin/OneDrive/Desktop/New%20folder%20(3)/nametags/ranktags.subgplayz.tech/index.html	(from )
18:31:06	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Dec%202023%2017:31:06%20GMT	https://fonts.gstatic.com/	C:/Users/danin/OneDrive/Desktop/New%20folder%20(3)/nametags/fonts.gstatic.com/index.html	(from https://ranktags.subgplayz.tech/)
18:31:07	147/147	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2013%20Dec%202023%2017:31:06%20GMT	https://gradio.app/robots.txt		(from https://ranktags.subgplayz.tech/)
18:31:07	137/137	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2013%20Dec%202023%2017:31:06%20GMT	https://gradio.app/	C:/Users/danin/OneDrive/Desktop/New%20folder%20(3)/nametags/gradio.app/index.html	(from https://ranktags.subgplayz.tech/)
18:31:10	66983/66983	U-----	200	untouched ('')	application/javascript	etag:b07a8962f619c78b255d7effaa3b3a66	https://ranktags.subgplayz.tech/assets/index-1a7ceb13.js	C:/Users/danin/OneDrive/Desktop/New%20folder%20(3)/nametags/ranktags.subgplayz.tech/assets/index-1a7ceb13.js	(from https://ranktags.subgplayz.tech/)
18:31:10	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Dec%202023%2017:31:06%20GMT	https://fonts.googleapis.com/	C:/Users/danin/OneDrive/Desktop/New%20folder%20(3)/nametags/fonts.googleapis.com/index.html	(from https://ranktags.subgplayz.tech/)
18:31:10	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Dec%202023%2017:31:09%20GMT	https://fonts.googleapis.com/robots.txt		(from https://ranktags.subgplayz.tech/)
18:31:10	13430/13430	U-----	200	untouched ('')	application/javascript	etag:%22640896fc-13b1%22	https://cdnjs.cloudflare.com/ajax/libs/iframe-resizer/4.3.6/iframeResizer.contentWindow.min.js	C:/Users/danin/OneDrive/Desktop/New%20folder%20(3)/nametags/cdnjs.cloudflare.com/ajax/libs/iframe-resizer/4.3.6/iframeResizer.contentWindow.min.js	(from https://ranktags.subgplayz.tech/)
18:31:11	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Dec%202023%2017:31:10%20GMT	https://fonts.gstatic.com/robots.txt		(from https://ranktags.subgplayz.tech/)
